CWPName,SourceID,CWPStreet,CWPCity,CWPState,CWPZip,RegistryID,FacLat,FacLong,CWPTotalDesignFlowNmbr,CWPActualAverageFlowNmbr,CWPFacilityTypeIndicator,CWPFacilityTypeCode,NPDESIDs
CITY OF MARTINSBURG WASTEWATER TREATMENT PLANT,WV0023167,500 E JOHN ST,MARTINSBURG,WV,25402,1.10008E+11,39.45439,-77.96116,,,POTW,MWD,WV0023167
CITY OF MCALLEN NORTH WWTP,TX0093106,2100 W SPRAGUE ST,MCALLEN,TX,78504,1.10001E+11,26.305278,-98.218889,15,11.25,POTW,MWD,TX0093106
CITY OF MCMINNVILLE (WWTP),TN0023591,100 COPE STREET,MCMINNVILLE,TN,37110,1.10001E+11,35.675349,-85.75887,4,2.4,POTW,MWD,TN0023591 TNL023591
CITY OF MERCEDES WWTP,TX0021547,"1501 EAST MILE 8 NORTH, MERCEDES",MERCEDES,TX,78570,1.1004E+11,26.170779,-97.902503,,5,POTW,MWD,TX0021547
CITY OF MESA - GREENFIELD WATER RECLAMATION PLANT,AZ0025241,4400 S GREENFIELD RD,GILBERT,AZ,85297,1.10023E+11,33.27041,-111.73791,30,,POTW,MWD,AZ0025241
CITY OF MESA - NORTHWEST WRP,AZ0024031,960 N RIVERVIEW,MESA,AZ,85201,1.10064E+11,33.417244,-111.829768,18,,POTW,MWD,AZ0024031
CITY OF MESA - SOUTHEAST WATER RECLAMATION PLANT,AZ0025151,6312 E BASELINE RD,MESA,AZ,85206,1.1002E+11,33.42783,-111.82279,8,,POTW,MWD,AZ0025151
CITY OF MESQUITE MS4,TXS001601,AREAS LOCATED WITHIN THE CORPORATE BOUNDARY OF THE,MESQUITE,TX,75149,1.10002E+11,32.783413,-96.602102,,,NON-POTW,CTG,TXS001601
CITY OF MISSOULA WWTP,MT0022594,1100 CLARK FORK LANE,MISSOULA,MT,59802,1.10064E+11,46.881917,-114.036417,,,POTW,MWD,MT0022594 MTRNE0030
CITY OF MODESTO WQCF NVRRWP JOINT OUTFALL,CA0085316,1221 SUTTER AVE,MODESTO DIVISION,CA,95351,1.10056E+11,37.613722,-121.011778,34.9,29.1,POTW,MWD,CA0079103 CA0085316 CAC448536 CAL079103 CAZ489503
CITY OF MORRO BAY WATER RECLAMATION FACILITY,CA3000002,555 SOUTH BAY BOULEVARD,MORRO BAY,CA,93442,1.10071E+11,35.386389,-120.883111,0.97,0.97,NON-POTW,,CA3000002
CITY OF MOUNDSVILLE,WV0023264,1800  S-LAFAYETTE AVE RT.2,MOUNDSVILLE,WV,26041,1.10017E+11,39.905028,-80.755892,2.34,,POTW,MWD,WV0023264 WVG640089 WVL023264
CITY OF NAPLES WATER RECLAMATION FACILITY,FL0026271,1400 3RD AVE N,NAPLES,FL,34102,1.10028E+11,26.151903,-81.78819,10,4.43,POTW,MWD,FL0026271 FLL026271
