CWPName,SourceID,CWPStreet,CWPCity,CWPState,CWPZip,RegistryID,FacLat,FacLong,CWPTotalDesignFlowNmbr,CWPActualAverageFlowNmbr,CWPFacilityTypeIndicator,CWPFacilityTypeCode,NPDESIDs
" CHEMOURS CO FC LLC, THE DELISLE PLANT",MS0027294,7685 KILN DELISLE ROAD,PASS CHRISTIAN,MS,39571,1.10006E+11,30.389186,-89.308892,6.11,,NON-POTW,POF,MS0027294 MSR000922
 IOWA PARK WWTF,TX0052922,706 W CHESTNUT,IOWA PARK,TX,76367,1.10002E+11,33.941083,-98.678639,1,1,POTW,MWD,TX0052922
 LEO L. DUBOIS WPCF - BRIDGEWATER CORRECTION COMPLEX,MA0102237,15 ADMINISTRATIVE ROAD,BRIDGEWATER,MA,2324,1.10002E+11,41.955101,-70.959764,,0.5,NON-POTW,MWD,MA0102237
 PRINCE SPECIALTY PRODUCTS LLC,MD0001775,610 PITTMAN ROAD,BALTIMORE,MD,21226,1.10001E+11,39.19469,-76.56416,,0.16,NON-POTW,POF,MD0001775 MDR002531
" WIELAND ROLLED PRODUCTS NORTH AMERICA, LLC",CT0021873,215 PIEDMONT STREET,WATERBURY,CT,6706,1.10034E+11,41.534338,-73.032406,,,NON-POTW,POF,CT0021873 CTGSI2267 CTMIU0165 CTP001332
3M - COTTAGE GROVE,MN0001449,HIGHWAY 61 & COUNTY ROAD 19,COTTAGE GROVE,MN,55016,1.1E+11,44.789444,-92.908333,,12.1,NON-POTW,POF,MN0001449
3M CORDOVA,IL0003140,22614 ROUTE 84 NORTH,CORDOVA,IL,61242,1.10014E+11,41.755,-90.284167,,,NON-POTW,POF,IL0003140 ILR10I875
3M DECATUR,AL0000205,1400 STATE DOCKS RD,DECATUR,AL,35609-2206,1.1E+11,34.641667,-87.038611,,,NON-POTW,POF,AL0000205 ALR107384 ALR109172 ALR10BDS0 ALR10BHH1 ALR163347 ALR164821 ALR16D228 ALR16EDRP
3V SIGMA USA,SC0036111,888 WOODSTOCK ST,GEORGETOWN,SC,29440,1.1E+11,33.362222,-79.383056,,,NON-POTW,POF,SC0036111 SCR003026
40 ACRE FACILITY,TX0057843,3500 LOOP 197 S,GALVESTON COUNTY,TX,77590,1.10041E+11,29.353866,-94.913278,15.7,15.7,NON-POTW,POF,TX0057843
570 ADIT WASTE/TAILINGS SENATOR HIGHWAY,AZ0026514,NO ADDRESS ON FILE,UNKNOWN,AZ,85745,1.10071E+11,34.4277,-112.42973,0.041,,NON-POTW,POF,AZ0026514 AZMS81366
"585 CROSS CREEK, LLC/ROCKY RIVER PLANT",SC0000299,572 ROCKY RIVER PLANT RD,CALHOUN FALLS,SC,29628,1.10001E+11,34.139044,-82.613325,,,NON-POTW,POF,SC0000299
59TH STREET STEAM STATION,NY0005134,850 12TH AVE,MANHATTAN (SUBDIVISION),NY,10019,1.10065E+11,40.77075,-73.993694,,70.04,NON-POTW,POF,NY0005134
74TH STREET STEAM PLANT,NY0005177,506 EAST 75TH STREET,NEW YORK COUNTY,NY,10021,1.10019E+11,40.767978,-73.95114,,317.5,NON-POTW,POF,NY0005177
75TH ST WWTP,CO0024147,4049 N 75 ST,BOULDER,CO,80301,1.10013E+11,40.048596,-105.186653,25,,POTW,MWD,CO0024147 COG072107 COG650038 COR090019 COR900986
A.J. LAROCCA WASTEWATER TREATMENT FACILITY,IL0027367,333 SOUTH VILLA AVENUE,ADDISON,IL,60101,1.10018E+11,41.920908,-87.975131,8,3.2,POTW,MWD,IL0027367 ILL027367
ABBEVILLE LONG CANE CREEK WWTF,SC0040614,542 BROOKSIDE DRIVE,ABBEVILLE,SC,29620,1.10001E+11,34.155833,-82.345,,,POTW,CTG,SC0040614 SCL040614
"ABBEVILLE, CITY OF",LA0039748,1908 E. LAFAYETTE STREET,ABBEVILLE,LA,705111170,1.10001E+11,29.969882,-92.117076,1.6,,POTW,MWD,LA0039748 LAL039748
ABBVIE INC NORTH CHICAGO FACILITY,IL0001881,1401 SHERIDAN ROAD,NORTH CHICAGO,IL,60064,1.10041E+11,42.334501,-87.836115,,,NON-POTW,POF,IL0001881 ILP901042 ILR006192
ABC COKE,AL0003417,900 HUNTSVILLE AVENUE,BIRMINGHAM,AL,35217,1.1E+11,33.580769,-86.781281,,,NON-POTW,POF,AL0003417
ABERDEEN ADVANCED WWTP,MD0021563,60 N. PARKE STREET,ABERDEEN,MD,21001,1.1002E+11,39.51003,-76.15004,4,,POTW,MWD,MD0021563 MDL021563 MDR002142
"ABERDEEN POTW, EAST",MS0055581,HIGHWAY 25 AT HIGHWAY 45,ABERDEEN,MS,39730,1.10001E+11,33.828139,-88.54225,4,,POTW,MWD,MS0055581 MSL055581
"ABERDEEN PROVING GROUND EDGEWOOD AREA, EDGEWOOD",MD0021229,EAST OF BEACH POINT ROAD,HARFORD COUNTY,MD,21005,1.10064E+11,39.481881,-76.137166,3,1.2,NON-POTW,FDF,MD0021229
"ABERDEEN PROVING GROUND, ABERDEEN AREA WWTP",MD0021237,"APGNWWTP BUILDING, 6295 SHARPLESS LOOP",ABERDEEN,MD,21005,1.10065E+11,39.470855,-76.095476,2.83,0.8,NON-POTW,FDF,MD0021237
ABERDEEN STP,WA0037192,1205 W STATE ST,ABERDEEN,WA,98520,1.10005E+11,46.964652,-123.829651,19.8,,NON-POTW,POF,WA0037192 WAL037192 WAR125101
"ABERDEEN, CITY OF",SD0020702,123 S. LINCOLN ST.,ABERDEEN,SD,57401,1.10001E+11,45.46327,-98.4866,5,3,POTW,MWD,SD0020702 SDR10E424
"ABILENE, CITY OF",KS0098647,801 S WASHINGTON ST,ABILENE,KS,67410,1.10038E+11,37.952912,-100.83076,1.3,0.575,POTW,CTG,KS0098647
ABINGTON REGIONAL WASTEWATER AUTHORITY,PA0028576,200 NORTHERN BLVD,CHINCHILLA,PA,18410-0199,1.10064E+11,41.46751,-75.67005,3.34,,POTW,CTG,PA0028576
ABINGTON TOWNSHIP STP,PA0026867,1000 FITZWATERTOWN RD,ROSLYN,PA,19001-4008,1.1006E+11,40.13123,-75.15459,3.91,,POTW,CTG,PA0026867 PAL026867
ABITIBIBOWATER,AL0003158,17589 PLANT ROAD,CHILDERSBURG,AL,35044,1.10057E+11,33.326675,-86.35787,,,NON-POTW,POF,AL0003158 ALR10AY44
"AC&S, INC.",WV0075621,"150 PLANT ROAD, PAR INDUSTRIAL PARK",NITRO,WV,25143,1.10014E+11,38.4235,-81.8448,,0.07,NON-POTW,COR,WV0075621 WVG611409
ADA WATER POLLUTION ABATEMENT CENTER,WV0023141,ROUTE 112,BLUEFIELD,WV,24701,1.10011E+11,37.2834,-81.15009,1.2,0,POTW,MWD,WV0023141 WVL023141
"ADA, CITY OF",OK0026115,1801 N MISSISSIPPI,ADA,OK,74820-6443,1.10064E+11,34.794083,-96.667278,3.2,2.05,POTW,MWD,OK0026115
"ADAIRSVILLE, CITY OF (NORTH WPCP)",GA0046035,179 OLD DIXIE HWY NW,ADAIRSVILLE,GA,30103,1.10006E+11,34.373874,-84.942255,1,0.82,POTW,CTG,GA0032832 GA0046035 GAL046035
ADAMS STREET WTP,NJ0026085,1600 ADAMS ST,HOBOKEN CITY,NJ,7030,1.10001E+11,40.756984,-74.032199,20.8,,POTW,MWD,NJ0026085 NJL026085 NJU000435
ADDISON - NORTH STP,IL0033812,711 NORTH ADDISON ROAD,ADDISON,IL,60101,1.10018E+11,41.940474,-87.988669,7.6,5.3,POTW,MWD,IL0033812 ILL033812
ADEL CITY OF STP,IA0041921,600 SOUTH 4TH STREET,ADEL,IA,50003,1.1004E+11,41.6024,-94.0015,5.44,3.4,POTW,MWD,IA0041921
"ADEL, CITY OF (ADEL WPCP)",GA0024911,1325 HONEYMOON LN,ADEL,GA,31620,1.10007E+11,31.123254,-83.389185,4.32,,POTW,MWD,GA0024911 GAL024911
ADM CORN PROCESSING - MARSHALL,MN0057037,400 WEST ERIE ROAD,MARSHALL,MN,56258,1.1E+11,44.474074,-95.783525,,2.6,NON-POTW,POF,MN0057037
ADRIAN WWTP,MI0022152,1001 OAKWOOD RD,ADRIAN,MI,49221,1.10009E+11,41.917222,-84.015278,,,POTW,CTG,MI0022152
ADVANSIX RESINS AND CHEMICALS LLC,VA0005291,905 E RANDOLPH RD,HOPEWELL,VA,23860,1.10001E+11,37.3009,-77.2722,,157.89,NON-POTW,COR,VA0005291 VAN040082 VAR052505
AECC-MAGNET COVE GENERATING STATION,AR0049611,410 HENDERSON ROAD,MALVERN,AR,72104,1.10016E+11,34.429361,-92.830944,,0.154,NON-POTW,COR,AR0049611 ARR000164 ARR000955
AECI THOMAS HILL ENERGY CENTER,MO0097675,5693 HIGHWAY F,CLIFTON HILL,MO,65244-9801,1.1E+11,39.5531,-92.6392,,,NON-POTW,POF,MO0003948 MO0097675 MO0139874 MORA15733 MORA17761 MORA18879 MORA18931 MORA21019 MORA22937
AECI-CHOUTEAU POWER PLANT,OK0043907,"HWY 412B, P.O. BOX 338",PRYOR,OK,74362,1.10065E+11,36.221222,-95.276667,,,NON-POTW,POF,OK0043907
AEP- APPALACHIAN POWER - DRESDEN GENERATING PLANT,OH0127892,9595 MCGLADE SCHOOL RD,DRESDEN,OH,43821,1.10041E+11,40.09399,-82.02394,,0.97,NON-POTW,POF,OH0127892
AGANA SEWERAGE TREATMENT PLANT,GU0020087,"MARINE CORPS DRIVE, ROUTE 1",HAGATNA,GU,96932,1.10011E+11,13.4809,144.7475,12,6.11,POTW,MWD,GU0020087
AGAT STP,GU0020222,"ROUTE 2A, TIPALAO",AGAT,GU,96928,1.10068E+11,13.3815,144.6544,1.5,0.39,POTW,MWD,GU0020222
AGINGAN STP,MP0020028,AGINGAN POINT,SAIPAN,MP,96950,1.10025E+11,15.121775,145.696139,3,0.91,POTW,MWD,MP0020028
AGUA NUEVA WRF,AZ0026107,2947 W CALLE AGUA NUEVA,TUCSON,AZ,85745,1.10002E+11,32.27981,-111.02198,35.2,,NON-POTW,MWD,AZ0020923 AZ0026107
AHLSTROM NONWOVENS LLC,CT0000434,27 CANAL BANK ROAD,WINDSOR LOCKS,CT,6096,1.10036E+11,41.930031,-72.62676,,,NON-POTW,POF,CT0000434 CTR051384
AHOSKIE WWTP,NC0088561,208 JOHNNY MITCHELL RD,AHOSKIE,NC,27910,1.10065E+11,36.2731,-76.9931,1.3,,NON-POTW,MWD,NC0088561 NCL088561
AIKEN PSA HORSE CREEK WWTF,SC0024457,70 PSA ROAD,BEECH ISLAND,SC,29842,1.10001E+11,33.469722,-81.913611,,,POTW,CTG,SC0024457 SCL024457
AIR LIQUIDE LARGE INDUSTRIES U.S. LP,LA0006220,4266 HWY 73,GEISMAR,LA,70734,1.10014E+11,30.21079,-91.015391,,2.61,NON-POTW,POF,LA0006220
AIRPORT WWTF,TX0027791,7618 MUSTANG DR,GALVESTON,TX,77553,1.10001E+11,29.270882,-94.848428,4.76,3.75,POTW,MWD,TX0027791
AJ BROWN PARKER CREEK WWTF,TX0072974,94 PARKER CREEK RD,HUNTSVILLE,TX,77320,1.10065E+11,30.772434,-95.512744,4.5,4.15,POTW,MWD,TX0072974
AK STEEL CORP - MANSFIELD WORKS,OH0006840,913 BOWMAN ST,MANSFIELD,OH,44903,1.1E+11,40.78449,-82.52327,,1.374,NON-POTW,POF,OH0006840
AK STEEL CORP ZANESVILLE OPERATIONS,OH0006858,1724 LINDEN AVE,ZANESVILLE,OH,43701,1.1E+11,39.96136,-82.00034,,1.306,NON-POTW,POF,OH0006858
AK STEEL- BUTLER WORKS,PA0006343,210 PITTSBURGH ROAD,BUTLER,PA,16003,1.10038E+11,40.845145,-79.921702,6.186,,NON-POTW,COR,PA0006343 PAR208360
AKRON WPCF,OH0023833,2460 AKRON-PENINSULA RD,AKRON,OH,44313,1.10002E+11,41.15806,-81.56513,90,,POTW,MWD,OH0023833
"AKZO NOBEL FUNCTIONAL CHEMICALS, LLC",AL0001961,13440 HIGHWAY 43 NORTH,AXIS,AL,36505,1.10001E+11,30.969439,-88.0175,,,NON-POTW,POF,AL0001961
ALABAMA RIVER CELLULOSE LLC,AL0025968,2373 LENA LANDEGGER HIGHWAY,PERDUE HILL,AL,36470,1.10001E+11,31.580112,-87.490073,,,NON-POTW,POF,AL0025968 ALR10A554 ALR10AY33 ALR10BBH8 ALR160225 ALR16C573
ALABASTER WWTP,AL0025828,104 8TH AVENUE NW,ALABASTER,AL,35007,1.10056E+11,33.2534,-86.8154,7.6,3.52,POTW,CTG,AL0025828 ALL025828 ALR160757
ALADDIN MANUFACTURING CORPORATION,VA0004677,404 ANDERSON ST,GLASGOW,VA,245552801,1.10002E+11,37.636093,-79.446451,,0.5,NON-POTW,COR,VA0004677 VAN040067
ALAMITOS GENERATING STATION,CA0001139,690 N STUDEBAKER RD,LONG BEACH,CA,90803,1.10001E+11,33.768889,-118.101111,729,729,NON-POTW,POF,CA0001139 CAC413976 CAC417929 CAZ515149
ALASKA GENERAL SEAFOODS KETCHIKAN PLANT,AKG521016,980 STEDMAN STREET,KETCHIKAN,AK,99901,1.10002E+11,55.336269,-131.632116,,,NON-POTW,POF,AKG520090 AKG521016 AKR06AD19
ALASKA PACIFIC SEAFOODS KODIAK PLANT,AKG528434,627 SHELIKOF,KODIAK,AK,99615,1.10001E+11,57.78526,-152.422192,,,NON-POTW,POF,AK0000434 AKG528434
ALBANY CO SD - NORTH WWTP,NY0026875,ONE CANAL ROAD,MENANDS,NY,12204,1.10019E+11,42.676054,-73.729117,35,,POTW,MWD,NY0026875 NYG996875 NYR00B262 NYR00B263
ALBANY CO SD - SOUTH WWTP,NY0026867,"CHURCH ST, PORT OF ALBANY",ALBANY COUNTY,NY,12202,1.10007E+11,42.630306,-73.759667,29,,POTW,MWD,NY0026867
"ALBANY, CITY OF (ALBANY CSO)",GA0036854,2726 JOSHUA ST,ALBANY,GA,31701,1.10009E+11,31.570917,-84.147722,34.5,0,POTW,MWD,GA0036854
"ALBANY, CITY OF (JOSHUA STREET WPCP)",GA0037222,2726 JOSHUA ST,ALBANY,GA,31701,1.10009E+11,31.538215,-84.147694,32,15.17,POTW,MWD,GA0037222 GAL037222
ALBEMARLE PASADENA PLANT,TX0004731,2500 N SOUTH ST,PASADENA,TX,77503,1.10057E+11,29.742498,-95.165513,6.164,6.164,NON-POTW,POF,TX0004731
ALBERT LEA WWTP,MN0041092,17424 780TH AVE,ALBERT LEA,MN,56007,1.10063E+11,43.60589,-93.30862,18.38,18.38,NON-POTW,,MN0041092
ALBION BORO WWTP,PA0023124,11230 BEST AVE,ALBION,PA,16401,1.1004E+11,41.89236,-80.37439,2.8,,POTW,CTG,PA0023124
ALBION JOINT MUNICIPAL-INDUSTRIAL CONTROL FACILITY,NY0028401,14740 DENSMORE STREET,GAINES,NY,14411-9743,1.10001E+11,43.254389,-78.168778,2.3,,POTW,MWD,NY0028401
ALBION WWTP,MI0022161,1000 BROWNSWOOD ROAD,ALBION,MI,49224,1.10001E+11,42.248216,-84.767286,,,POTW,CTG,MI0022161
ALBUQUERQUE BERNALILLO COUNTY WATER UTILITY AUTHORITY,NM0022250,SOUTHSIDE WATER RECLAM. PT.,ALBUQUERQUE,NM,87105,1.10001E+11,35.0177,-106.6661,60,,POTW,MWD,NM0022250 NMR05GC52
ALCOA - EAST,NY0000132,194 CO RTE 45,MASSENA,NY,13662,1.1E+11,44.982804,-74.748897,,6.885,NON-POTW,POF,NY0000132
ALCOA POINT COMFORT OPERATIONS,TX0004715,SHWY 35;INT WITH FMR 1593,POINT COMFORT,TX,77978,1.10001E+11,28.652039,-96.557649,62,62,NON-POTW,POF,TX0004715
ALCOA WENATCHEE LLC,WA0000680,6200 MALAGA RD,MALAGA,WA,98828,1.1E+11,47.3567,-120.1273,,,NON-POTW,POF,WA0000680
ALCOA-ROCKDALE OPERATIONS,TX0000876,3990 CHARLES MARTIN HALL RD,ROCKDALE,TX,76567,1.10008E+11,30.574194,-97.049361,326,326,NON-POTW,POF,TX0000876 TXU000557
ALCOSAN SEW SYS,PA0025984,3300 PREBLE AVE,PITTSBURGH,PA,15233-1025,1.10001E+11,40.47454,-80.04086,250,,POTW,CTG,PA0025984 PAC020353 PAL025984
ALDRIDGE CREEK WWTP,AL0056855,13331 MEMORIAL PARKWAY S.E.,HUNTSVILLE,AL,35803,1.10014E+11,34.586882,-86.563374,8.4,4.91,POTW,CTG,AL0056855 ALL056855 ALR16EBUT
ALEXANDER CITY COLEY CREEK WWTP,AL0021156,2150 COLEY CREEK ROAD,ALEXANDER CITY,AL,35010,1.10002E+11,32.9299,-85.882,2,1.23,POTW,CTG,AL0021156 ALL021156
ALEXANDRIA LAKES AREA SANITARY DISTRICT,MN0040738,2201 NEVADA ST SW,ALEXANDRIA,MN,563089152,1.1001E+11,45.867852,-95.405751,4.7,4.7,POTW,CTG,MN0040738 MNL040738
ALEXANDRIA RENEW ENTERPRISES WWTP,VA0025160,1500 EISENHOWER AVE,ALEXANDRIA,VA,223141987,1.10021E+11,38.7989,-77.0606,54,,POTW,CTG,VA0025160 VAL025160 VAN010059
ALEXANDRIA WWTP,IN0020044,CR 1706 W 1100 N,ALEXANDRIA,IN,46001,1.10001E+11,40.263417,-85.704583,3,1.6,POTW,MWD,IN0020044
"ALEXANDRIA, CITY OF - WWTP",LA0041009,1212 HUDSON BLVD.,ALEXANDRIA,LA,71302,1.10001E+11,31.2784,-92.41716,22,,POTW,MWD,LA0041009 LAJ650021 LAR041009 LAR05P001
ALFRED (V) WWTP,NY0022357,198 NORTH MAIN STREET,ALFRED,NY,14802,1.1002E+11,42.2645,-77.778972,0.98,,POTW,MWD,NY0022357
ALGONA CITY OF STP,IA0022055,UNKNOWN,ALGONA,IA,50511,1.10002E+11,43.064444,-94.248056,2.76,1.976,POTW,MWD,IA0022055
"ALGONQUIN WWTP, VILLAGE OF",IL0023329,125 WILBRANT DRIVE,ALGONQUIN,IL,60102,1.1004E+11,42.154898,-88.294292,11.3,5,POTW,MWD,IL0023329 ILL023329 ILX0113SC
ALIQUIPPA STP,PA0025968,160 HOPEWELL AVE,ALIQUIPPA,PA,15001-3545,1.10001E+11,40.62126,-80.24376,3.4,,POTW,CTG,PA0025968 PA0218511 PAG136334 PAL025968
ALISO CREEK OCEAN OUTFALL,CA0107611,34156 DEL OBISPO STREET,ORANGE COUNTY,CA,92629,1.10001E+11,33.466574,-117.685766,34.37,16,POTW,MWD,CA0107417 CA0107611
ALLEGAN WRRF,MI0020532,350 NORTH ST,ALLEGAN,MI,49010,1.1001E+11,42.53497,-85.85455,,,POTW,CTG,MI0020532
ALLEGANY BALLISTICS LABORATORY (ABL),WV0020371,INTERSECTION OF SR 956 AND N. BR. POTOMAC RIVER,SHORT GAP,WV,26726,1.1E+11,39.56097,-78.84361,0,0.65,NON-POTW,COR,WV0020371 WVR100046 WVR100494 WVR100822 WVR101095 WVR101206 WVR101236 WVR101834 WVR102814 WVR105210 WVR105472 WVR105807 WVR106065
ALLEGHANY CO - LOWER JACKSON RIVER REGIONAL WWTP,VA0090671,50 FORK FARM RD,IRON GATE,VA,24448,1.1004E+11,37.79264,-79.78361,3.5,,POTW,CTG,VA0090671
ALLEGHENY VLY JT SEW AUTH STP,PA0026255,2400 FREEPORT RD,PITTSBURGH,PA,15238-1408,1.10001E+11,40.530346,-79.84755,5.5,,POTW,CTG,PA0026255 PAD020037 PAL026255
ALLEN HARIM FOODS LLC,DE0000299,18752 HARBESON ROAD,HARBESON,DE,19951,1.10057E+11,38.72072,-75.28476,,,NON-POTW,POF,DE0000299
ALLENDALE TWP WRRF,MI0057679,11624 40TH AVENUE,ALLENDALE,MI,49401,1.10009E+11,42.9821,-85.88481,,,POTW,CTG,MI0057679 MIG570126
ALLENDALE WWTF,SC0039918,SC ROAD S-3-129,ALLENDALE,SC,29810,1.10001E+11,32.995556,-81.312778,,,POTW,CTG,SC0039918 SCL039918
ALLENTOWN CITY,PA0063665,112 UNION ST,ALLENTOWN,PA,181024910,1.10001E+11,40.601667,-75.453333,0,,NON-POTW,CTG,PA0026000 PA0063665
ALLIANCE WWTP,OH0023868,12251 ROCKHILL AVE NE,ALLIANCE,OH,44601,1.10001E+11,40.955556,-81.117778,7.5,,POTW,MWD,OH0023868
ALLISON PARK STP,PA0043729,2536 TONER AVE,ALLISON PARK,PA,15101-3643,1.10001E+11,40.563318,-79.964054,3.2,,POTW,CTG,PA0043729 PAC020671 PAL043729
ALLISON WWTP,TX0047082,4101 ALLISON RD,CORPUS CHRISTI,TX,78410,1.10002E+11,27.79642,-97.40411,5,5,POTW,MWD,TX0047082 TXG870029 TXS000601
ALLNEX USA INCORPORATED,CT0000086,528 SOUTH CHERRY STREET,WALLINGFORD,CT,6492,1.10051E+11,41.435,-72.836389,,,NON-POTW,POF,CT0000086 CTGSI2603
"ALMA PLANTATION, LTD.",LA0003034,HWY 416,LAKELAND,LA,70752,1.10001E+11,30.59862,-91.389578,,4.07,NON-POTW,POF,LA0003034
ALMA WWTP,MI0020265,1000 WASHINGTON AVENUE,ALMA,MI,48801,1.1001E+11,43.387222,-84.6475,,,POTW,CTG,MI0020265
"ALMA, CITY OF",AR0021466,2500 ORRICK RD,ALMA,AR,72921,1.10025E+11,35.4606,-94.1856,1.75,2.3,POTW,MWD,AR0021466 ARL021466 ARR000321
ALMATIS BURNSIDE LLC,LA0005606,41237 HIGHWAY 22,BURNSIDE,LA,70738,1.10013E+11,30.137458,-90.915388,,5.6,NON-POTW,POF,LA0005606
ALMEDA SIMS WWTF,TX0034924,2000' EAST ST HWY 288 AT 12319 AND 0.5 ALMEDA RD,HOUSTON,TX,77087,1.10016E+11,29.629134,-95.409126,20,28,POTW,MWD,TX0034924
ALON USA- ALON KROTZ SPRINGS REFINERY,LA0051942,356 SOUTH LEVEE ROAD,KROTZ SPRINGS,LA,70750,1.10041E+11,30.526504,-91.748383,,9.61,NON-POTW,POF,LA0051942 LAR05P720 LAR10K398
ALPENA BIOREFINERY,MI0058997,416 FORD AVENUE,ALPENA,MI,49707,1.10046E+11,45.063636,-83.428315,,,NON-POTW,POF,MI0058997
ALPENA WWTP,MI0022195,210 HARBOR DRIVE,ALPENA,MI,49707,1.1001E+11,45.06065,-83.42873,,,POTW,CTG,MI0022195
ALTAMONTE SPRINGS REGIONAL WRF,FL0033251,950 KELLER RD,ALTAMONTE SPRINGS,FL,32714-1617,1.1004E+11,28.641834,-81.39866,12.5,,POTW,MWD,FL0033251 FLL033251 FLR20CS24 FLR20DD78
"ALTAMONTE SPRINGS, CITY OF",FLS266582,225 NEWBURYPORT AVE,ALTAMONTE SPRINGS,FL,32701,1.10028E+11,28.66532,-81.35975,,,NON-POTW,MWD,FLS266582
ALTAVISTA TOWN - WASTEWATER TREATMENT PLANT,VA0020451,1200 LANE ACCESS RD,ALTAVISTA,VA,24517,1.1004E+11,37.10922,-79.285,3.6,,POTW,CTG,VA0020451
ALTIVIA PETROCHEMICALS LLC,OH0007391,1019 HAVERHILL-OHIO FURNACE RD,HAVERHILL,OH,45636,1.10042E+11,38.59167,-82.81944,,2.34,NON-POTW,POF,OH0007391
"ALTIVIA SERVICES, LLC",WV0000086,ROUTE 25,INSTITUTE,WV,25112,1.10065E+11,38.386439,-81.79844,,144.9,NON-POTW,COR,WV0000086
ALTON STEEL INC,IL0000612,5 CUT STREET,ALTON,IL,62002,1.1E+11,38.884444,-90.143735,,,NON-POTW,POF,IL0000612 ILG870897
"ALTON STP, CITY OF",IL0027464,19 CHESSEN LANE,ALTON,IL,62002,1.10001E+11,38.884912,-90.134744,26.25,10.5,POTW,MWD,IL0027464 ILL027464
ALTOONA EASTERLY STP,PA0027014,1552 OLD 6TH AVENUE ROAD,ALTOONA,PA,16601,1.1004E+11,40.55446,-78.363879,9,,POTW,CTG,PA0027014
ALTOONA WESTERLY STP,PA0027022,144 WESTERLY TREATMENT PLANT RD,DUNCANSVILLE,PA,16635-7814,1.10007E+11,40.457027,-78.426248,10.8,,POTW,CTG,PA0027022 PAL027014 PAL027022
ALTUS SE WWTP,OK0028037,220 EAST COMMERCE,ALTUS,OK,73521,1.10001E+11,34.628654,-99.272141,3.5,1.69,POTW,MWD,OK0028037 OKR040043
ALUM CREEK WWTP,OH0121380,7767 WALKER WOOD BLVD,LEWIS CENTER,OH,43035,1.10009E+11,40.289024,-83.07228,20,,POTW,MWD,OH0121380
ALYESKA PIPELINE VALDEZ MARINE TERMINAL,AK0023248,300 DAYVILLE RD,VALDEZ,AK,99686,1.10064E+11,61.084857,-146.388531,,,NON-POTW,POF,AK0023248
ALYESKA SEAFOODS UNALASKA PLANT,AK0000272,551 W. BROADWAY,UNALASKA,AK,99685,1.10001E+11,53.878409,-166.539921,,,NON-POTW,POF,AK0000272
AM WRF,OR0028801,408 WAVERLY DR NE,ALBANY,OR,97321,1.10001E+11,44.643333,-123.075278,8.7,,POTW,MWD,OR0028801 ORL028801
AMBLER BORO STP,PA0026603,SOUTH MAIN & CHURCH STREETS,AMBLER,PA,19002,1.10001E+11,40.15504,-75.22074,6.5,,POTW,CTG,PA0026603 PAG130036 PAL026603
AMBRIDGE BORO STP,PA0027146,2201 OHIO RIVER BLVD,AMBRIDGE,PA,15003-2568,1.10012E+11,40.60377,-80.23153,2.56,,POTW,CTG,PA0027146 PAL027146
AMELIA COURTHOUSE SANITARY DISTRICT STP-SMACKS CR,VA0091707,SMACKS CREEK AND STATE ROUTE 627,AMELIA,VA,23002,1.10038E+11,37.337722,-77.933833,0.999,,POTW,CTG,VA0091707
AMER REF GROUP BRADFORD,PA0002674,77 N KENDALL AVE,BRADFORD,PA,16701-1726,1.1E+11,41.965472,-78.633108,1.008,,NON-POTW,COR,PA0002674 PA0222151 PAG108308 PAU000034
AMEREN MISSOURI - CALLAWAY ENERGY CENTER,MO0098001,8315 COUNTY ROAD 459,STEEDMAN,MO,65251,1.10018E+11,38.761245,-91.780772,,,NON-POTW,POF,MO0098001 MOR109AJ8 MOR10B094 MORA03730 MORA06766
AMEREN MISSOURI - LABADIE ENERGY CENTER,MO0004812,226 LABADIE POWER PLANT ROAD,LABADIE,MO,63055,1.1E+11,38.562074,-90.836593,,,NON-POTW,POF,MO0004812 MOR101211 MOR108103 MOR109T65 MOR10B256 MOR10B755 MORA09662 MORA12701 MORA18640 MORA20179
AMEREN MISSOURI - MERAMEC ENERGY CENTER,MO0000361,8200 FINE ROAD,ST. LOUIS,MO,63129,1.10002E+11,38.40212,-90.335953,,,NON-POTW,POF,MO0000361 MOR10E165
AMEREN MISSOURI - RUSH ISLAND POWER,MO0000043,100 BIG HOLLOW ROAD,FESTUS,MO,63028,1.1E+11,38.1306,-90.2625,,,NON-POTW,POF,MO0000043 MOR108727 MOR109753 MOR109FK1 MORA09980 MORA12511 MORA15626
AMEREN MISSOURI - SIOUX POWER PLANT,MO0000353,8501 N ST ROUTE 94,WEST ALTON,MO,63386,1.10065E+11,38.915021,-90.288875,,,NON-POTW,POF,MO0000353 MOR100188 MOR104784 MOR10A652 MOR10B114 MORA01227 MORA15124 MORA20006
AMERENENERGY MEDINA COGEN LLC,IL0004120,15142 E 1900TH AVE,HUTSONVILLE,IL,62433,1.1E+11,39.1333,-87.6597,,,NON-POTW,POF,IL0004120 ILX000007
AMERICAN CANYON WRF,CA0038768,151 MEZZETTA COURT,AMERICAN CANYON,CA,94503,1.10001E+11,38.1879,-122.2782,2.5,,POTW,MWD,CA0038768 CAL038768
AMERICAN CHROME & CHEMICALS,TX0004685,0.7MI N OF IH 37 ON BUDDY LAWRENCE DR,CORPUS CHRISTI,TX,78469,1.10005E+11,27.814167,-97.433333,,20,NON-POTW,POF,TX0004685 TXR05DP27 TXR05FI60
